time,theta,omega,ctrl
0.002,0.00027,0.13448,6.28319
0.022,0.01753,1.45049,5.16749
0.042,0.06043,2.70275,3.99842
0.062,0.12753,3.87601,2.79396
0.082,0.2171,4.95695,1.57175
0.102,0.32596,5.69761,0.48642
0.122,0.43926,5.55656,0.09728
0.142,0.54561,5.1005,0.02066
0.162,0.64193,4.58332,0.04431
0.182,0.72808,4.08756,0.09534
0.202,0.80479,3.6367,0.14943
0.222,0.87302,3.23422,0.19909
0.242,0.93371,2.87722,0.24257
0.262,0.98771,2.56114,0.27999
0.282,1.0358,2.28129,0.31202
0.302,1.07865,2.03334,0.33941
0.322,1.11685,1.81345,0.36286
0.342,1.15094,1.61826,0.38298
0.362,1.18136,1.44482,0.40029
0.382,1.20853,1.29058,0.41522
0.402,1.23281,1.1533,0.42813
0.422,1.2545,1.03102,0.43932
0.442,1.2739,0.92202,0.44905
0.462,1.29126,0.8248,0.45753
0.482,1.30678,0.73804,0.46493
0.502,1.32068,0.66058,0.47142
0.522,1.33311,0.59138,0.4771
0.542,1.34425,0.52953,0.4821
0.562,1.35422,0.47424,0.48649
0.582,1.36315,0.4248,0.49037
0.602,1.37116,0.38056,0.4938
0.622,1.37832,0.34098,0.49683
0.642,1.38475,0.30555,0.49951
0.662,1.3905,0.27383,0.50189
0.682,1.39566,0.24542,0.504
0.702,1.40029,0.21998,0.50588
0.722,1.40443,0.1972,0.50755
0.742,1.40815,0.17678,0.50903
0.762,1.41148,0.15849,0.51036
0.782,1.41446,0.1421,0.51154
0.802,1.41714,0.12741,0.51259
0.822,1.41954,0.11425,0.51353
0.842,1.4217,0.10245,0.51437
0.862,1.42363,0.09187,0.51511
0.882,1.42536,0.08238,0.51578
0.902,1.42691,0.07388,0.51638
0.922,1.4283,0.06626,0.51692
0.942,1.42955,0.05942,0.5174
0.962,1.43067,0.05329,0.51782
0.982,1.43168,0.0478,0.51821
1.002,1.43258,0.04287,0.51855
1.022,1.43338,0.03845,0.51886
1.042,1.43411,0.03448,0.51913
1.062,1.43476,0.03093,0.51938
1.082,1.43534,0.02774,0.5196
1.102,1.43587,0.02488,0.5198
1.122,1.43633,0.02232,0.51998
1.142,1.43675,0.02002,0.52014
1.162,1.43713,0.01796,0.52028
1.182,1.43747,0.01611,0.52041
1.202,1.43777,0.01445,0.52052
1.222,1.43805,0.01296,0.52062
1.242,1.43829,0.01162,0.52071
1.262,1.43851,0.01043,0.5208
1.282,1.43871,0.00935,0.52087
1.302,1.43888,0.00839,0.52094
1.322,1.43904,0.00752,0.521
1.342,1.43918,0.00675,0.52105
1.362,1.43931,0.00605,0.5211
1.382,1.43942,0.00543,0.52114
1.402,1.43953,0.00487,0.52118
1.422,1.43962,0.00437,0.52121
1.442,1.4397,0.00392,0.52124
1.462,1.43977,0.00352,0.52127
1.482,1.43984,0.00315,0.5213
1.502,1.4399,0.00283,0.52132
1.522,1.43995,0.00254,0.52134
1.542,1.44,0.00228,0.52136
1.562,1.44004,0.00204,0.52137
1.582,1.44008,0.00183,0.52139
1.602,1.44012,0.00164,0.5214
1.622,1.44015,0.00147,0.52141
1.642,1.44018,0.00132,0.52142
1.662,1.4402,0.00119,0.52143
1.682,1.44022,0.00106,0.52144
1.702,1.44024,0.00095,0.52145
1.722,1.44026,0.00086,0.52146
1.742,1.44028,0.00077,0.52146
1.762,1.44029,0.00069,0.52147
1.782,1.4403,0.00062,0.52147
1.802,1.44032,0.00055,0.52148
1.822,1.44033,0.0005,0.52148
1.842,1.44034,0.00045,0.52148
1.862,1.44034,0.0004,0.52149
1.882,1.44035,0.00036,0.52149
1.902,1.44036,0.00032,0.52149
1.922,1.44037,0.00029,0.52149
1.942,1.44037,0.00026,0.5215
